GameFileName,GameName,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags,VPS-ID
"Eight Ball Champ (Bally 1985) Rajo Joey 1.0.0 MOD VR","Eight Ball Champ (Bally 1985)",Bally,1985,4,SS,,"Billiards","http://www.ipdb.org/machine.cgi?id=761",761,,"George Christian","Rajo Joey, Goldchicco, 32assassin, Scapino",1.0.0,eballchp,"VR, MOD, LUT",h4jeMVDQEP
"Eight Ball Champ (Bally 1985) Bigus1 1.0 MOD","Eight Ball Champ (Bally 1985)",Bally,1985,4,SS,,"Billiards","http://www.ipdb.org/machine.cgi?id=761",761,,"George Christian","Bigus1, 32assassin, Scapino",1.0,eballchp,"MOD",i5uz5hPz
"Eight Ball Champ (Bally 1985) 32assassin 1.3","Eight Ball Champ (Bally 1985)",Bally,1985,4,SS,,"Billiards","http://www.ipdb.org/machine.cgi?id=761",761,,"George Christian","32assassin, Scapino",1.3,eballchp,,hVBbW8o0
"Eight Ball Champ (Bally 1985) Scapino 1.2","Eight Ball Champ (Bally 1985)",Bally,1985,4,SS,,"Billiards","http://www.ipdb.org/machine.cgi?id=761",761,,"George Christian","Scapino, Bryce Jeannotte",1.2,eballchp,,-FCJD9TCu2
"Eight Ball Deluxe (Bally 1981) Bigus1 2.0 MOD","Eight Ball Deluxe (Bally 1981)",Bally,1981,4,SS,,"Billiards",,,,"George Christian","Bigus1, 32assassin",2.0,eballdlx,"MOD",RiiXoOGg
"Eight Ball Deluxe (Bally 1981) NitroNimbus 2.0 MOD","Eight Ball Deluxe (Bally 1981)",Bally,1981,4,SS,,"Billiards",,,,"George Christian","NitroNimbus, Martin Brukner",2.0,eballdlx,"MOD",enagR1gS6c
"Eight Ball Deluxe (Bally 1981) Goldchicco 1.1c MOD","Eight Ball Deluxe (Bally 1981)",Bally,1981,4,SS,,"Billiards",,,,"George Christian","Goldchicco, 32assassin",1.1c,eballdlx,"MOD, LUT",yII6M3ko
"Eight Ball Deluxe (Bally 1981) Sixtoe 1.0 VR","Eight Ball Deluxe (Bally 1981)",Bally,1981,4,SS,,"Billiards",,,,"George Christian","Sixtoe, Walter Whitmer, Bord, 32assassin",1.0,eballdlx,"VR",w2PyPZID-O
"Eight Ball Deluxe (Bally 1981) Morttis 1.0-1.0 MOD","Eight Ball Deluxe (Bally 1981)",Bally,1981,4,SS,,"Billiards",,,,"George Christian","Morttis, Arconovum, 32assassin",1.0-1.0,eballdlx,"FSS, MOD",Pxn_f7zPUG
"Eight Ball Deluxe (Bally 1981) chefkoch 1.0.2","Eight Ball Deluxe (Bally 1981)",Bally,1981,4,SS,,"Billiards",,,,"George Christian","chefkoch",1.0.2,eballdlx,,gw8VZpU3n-
"Eight Ball Deluxe (Bally 1981) Bord 1.0.1 MOD","Eight Ball Deluxe (Bally 1981)",Bally,1981,4,SS,,"Billiards",,,,"George Christian","Bord, 32assassin",1.0.1,eballdlx,"MOD",q4X09jzf
"Eight Ball Deluxe (Bally 1981) 32assassin 1.0","Eight Ball Deluxe (Bally 1981)",Bally,1981,4,SS,,"Billiards",,,,"George Christian","32assassin",1.0,eballdlx,,ktfL5Wp5
"El Bueno el Feo y el Malo (Original 2015) JPSalas 4.0","El Bueno el Feo y el Malo (Original 2015)",Original,2015,,SS,,"American West, Movie",,,,,"JPSalas, StrangeLeo72, Maboule",4.0,eldorado,"Music",EPqSRnCC
"El Dorado (Gottlieb 1975) Teisen 1.0 MOD","El Dorado (Gottlieb 1975)",Gottlieb,1975,1,EM,,"American West","http://www.ipdb.org/machine.cgi?id=766",766,,"Ed Krynski","Teisen, Loserman76, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog",1.0,,"MOD",UKaWx6Cz9r
"El Dorado (Gottlieb 1975) Rajo Joey 1.0.0 MOD VR","El Dorado (Gottlieb 1975)",Gottlieb,1975,1,EM,,"American West","http://www.ipdb.org/machine.cgi?id=766",766,,"Ed Krynski","Rajo Joey, Loserman76, GNance",1.0.0,,"Hybrid, VR, MOD, FSS, LUT",kOMkDxy2ZR
"El Dorado (Gottlieb 1975) Loserman76 1.0.0f","El Dorado (Gottlieb 1975)",Gottlieb,1975,1,EM,,"American West","http://www.ipdb.org/machine.cgi?id=766",766,,"Ed Krynski","Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,,,yBxnevfM
"Eldorado","El Dorado (Zen Studios 2013)",Zen Studios,2013,4,,,"Legends",,,,,"Zen Studios",,,,Hy9ZkBRX
"El Dorado City of Gold (Gottlieb 1984) Jbg4208 1.3 SSF MOD","El Dorado City of Gold (Gottlieb 1984)",Gottlieb,1984,4,SS,,"Adventure, Fantasy","http://www.ipdb.org/machine.cgi?id=767",767,,"Ed Krynski","Jbg4208, TheGhost787, Thalamus, Outhere, BorgDog, Ninuzzu, 32assassin, nFozzy",1.3,,"SSF, MOD",87kGZfZY
"El Dorado City of Gold (Gottlieb 1984) TheGhost787 1.0 MOD","El Dorado City of Gold (Gottlieb 1984)",Gottlieb,1984,4,SS,,"Adventure, Fantasy","http://www.ipdb.org/machine.cgi?id=767",767,,"Ed Krynski","TheGhost787, 32assassin",1.0,,"MOD",qy0LZKZa
"Electra-Pool (Gottlieb 1965) Loserman76 1.0.0f","Electra-Pool (Gottlieb 1965)",Gottlieb,1965,1,EM,,"Billiards","https://www.ipdb.org/machine.cgi?id=779",779,,"Ed Krynski","Loserman76, GNance",1.0.0f,,,TnWtSnCV
"Electric Mayhem (Original 2016) Lodger 1.0","Electric Mayhem (Original 2016)",Original,2016,,SS,,"Music, TV Show",,,,,"Lodger",1.0,,,40-_M06J
"Elektra (Bally 1981) UnclePaulie 2.0.7 MOD VR","Elektra (Bally 1981)",Bally,1981,4,SS,,"Fantasy","http://www.ipdb.org/machine.cgi?id=778",778,,"Claude Fernandez","UnclePaulie, 32assassin, Francisco666",2.0.7,elektra,"Hybrid, VR, FSS, MOD, nFozzy, Fleep",1Rsqf2lWzv
"Elektra (Bally 1981) Bigus1 1.0 MOD","Elektra (Bally 1981)",Bally,1981,4,SS,,"Fantasy","http://www.ipdb.org/machine.cgi?id=778",778,,"Claude Fernandez","Bigus1, 32assassin, Francisco666",1.0,elektra,"MOD",7Dtj7cbj
"Elektra (Bally 1981) 32assassin 1.1","Elektra (Bally 1981)",Bally,1981,4,SS,,"Fantasy","http://www.ipdb.org/machine.cgi?id=778",778,,"Claude Fernandez","32assassin, Francisco666",1.1,elektra,,XZ0464N8
"Elektra (Bally 1981) Rajo Joey 1.0 MOD VR","Elektra (Bally 1981)",Bally,1981,4,SS,,"Fantasy","http://www.ipdb.org/machine.cgi?id=778",778,,"Claude Fernandez","Rajo Joey, 32assassin, Francisco666",1.0,elektra,"LUT, MOD, VR, Fleep, Hybrid",E_hcZ1Q26A
"Elf Pinball XL (Original 2018) Stevegooner1234 1.0 MOD","Elf Pinball XL (Original 2018)",Original,2018,4,SS,,"Christmas, Movie",,,,,"Stevegooner1234, Xenonph, Lizard, JPSalas",1.0,,"Music, MOD",LrPb5Px9
"Elite Guard (Gottlieb 1968) Loserman76 1.0.0f","Elite Guard (Gottlieb 1968)",Gottlieb,1968,1,EM,,"World Places, Historical","https://www.ipdb.org/machine.cgi?id=780",780,,"Ed Krynski","Loserman76, GNance",1.0.0f,,,b7Dqg5P2
"Elvira - Party House of Horror (Original 2019) Gman77 1.0 MOD","Elvira - Party House of Horror (Original 2019)",Original,2019,,SS,,"Licensed Theme, Horror, Supernatural","https://www.ipdb.org/machine.cgi?id=",,,"","Gman77, Jagandy82, Nagadevil, HauntFreaks, Marty02, 32assassin",1.0,eatpm_l4,"MOD",wWVKSJcpHt
"Elvira - Party House of Horror (Original 2019) HauntFreaks 2.0.0 MOD","Elvira - Party House of Horror (Original 2019)",Original,2019,,SS,,"Licensed Theme, Horror, Supernatural","https://www.ipdb.org/machine.cgi?id=",,,"","HauntFreaks, Marty02, 32assassin",2.0.0,eatpm_l4,"MOD",dJIsrYG2rQ
"Elvira - Party House of Horror (Original 2019) Ahr1man 1.1 MOD VR","Elvira - Party House of Horror (Original 2019)",Original,2019,,SS,,"Licensed Theme, Horror, Supernatural","https://www.ipdb.org/machine.cgi?id=",,,"","Ahr1man, Rascal, Rawd, Marty02, 32assassin, HauntFreaks",1.1,eatpm_l4,"VR, MOD",2tF_z19JIx
"Elvira - Party House of Horror (Original 2019) Marty02 1.1","Elvira - Party House of Horror (Original 2019)",Original,2019,,SS,,"Licensed Theme, Horror, Supernatural","https://www.ipdb.org/machine.cgi?id=",,,"","Marty02, 32assassin",1.1,eatpm_l4,,1Qzqsg9R
"Elvira and the Party Monsters (Bally 1989) Gman77 1.0.0 MOD","Elvira and the Party Monsters (Bally 1989)",Bally,1989,4,SS,,"Licensed Theme, Horror, Supernatural","http://www.ipdb.org/machine.cgi?id=782",782,,"Dennis Nordman","Gman77, Jagandy82, Nagadevil, Versins77, 32assassin, HauntFreaks",1.0.0,eatpm_l4,"MOD, nFozzy, Fleep, LUT",_rSvxaN5M_
"Elvira and the Party Monsters (Bally 1989) Versins77 1.0.3 MOD VR","Elvira and the Party Monsters (Bally 1989)",Bally,1989,4,SS,,"Licensed Theme, Horror, Supernatural","http://www.ipdb.org/machine.cgi?id=782",782,,"Dennis Nordman","Versins77, 32assassin, HauntFreaks",1.0.3,eatpm_l4,"MOD, nFozzy, Fleep, LUT, Hybrid, VR",v-X-IkrBBl
"Elvira and the Party Monsters (Bally 1989) Bigus1 2.1 MOD","Elvira and the Party Monsters (Bally 1989)",Bally,1989,4,SS,,"Licensed Theme, Horror, Supernatural","http://www.ipdb.org/machine.cgi?id=782",782,,"Dennis Nordman","Bigus1, 32assassin, HauntFreaks",2.1,eatpm_l4,"MOD, FlexDMD",0Gd42dwy
"Elvira and the Party Monsters (Bally 1989) 32assassin 2.3 SSF","Elvira and the Party Monsters (Bally 1989)",Bally,1989,4,SS,,"Licensed Theme, Horror, Supernatural","http://www.ipdb.org/machine.cgi?id=782",782,,"Dennis Nordman","32assassin, HauntFreaks",2.3,eatpm_l4,"SSF",zG9bcULH
"Elvira and the Party Monsters (Bally 1989) HauntFreaks 2.2 MOD","Elvira and the Party Monsters (Bally 1989)",Bally,1989,4,SS,,"Licensed Theme, Horror, Supernatural","http://www.ipdb.org/machine.cgi?id=782",782,,"Dennis Nordman","HauntFreaks, Calium, 32assassin",2.2,eatpm_l4,"MOD, Adult",zp_2duHs
"Elvis (Stern 2004) JPSalas 4.3.2 SSF","Elvis (Stern 2004)",Stern,2004,4,SS,,"Licensed Theme, Music","http://www.ipdb.org/machine.cgi?id=4983",4983,,"Steve Ritchie","JPSalas, Steve Paradis (Polygame), Chokeee, Mitty723, Batch, Coten",4.3.2,elvis,"SSF, LUT",_mOok-fI
"Elvis (Stern 2004) Chokeee 2.0 SSF MOD VR","Elvis (Stern 2004)",Stern,2004,4,SS,,"Licensed Theme, Music","http://www.ipdb.org/machine.cgi?id=4983",4983,,"Steve Ritchie","Chokeee, DJRobX, Flupper1, Tom Tower, Dids666, Rawd, Wylte, nFozzy, BountyBob, PinstratsDan, Primetime5k, Apophis, HauntFreaks, JPSalas, TastyWasps",2.0,elvis,"SSF, MOD, VR, Hybrid, FSS, nFozzy, Fleep",VBiGyjgZ
"Elvis (Stern 2004) Morttis 3.0-3.0 MOD","Elvis (Stern 2004)",Stern,2004,4,SS,,"Licensed Theme, Music","http://www.ipdb.org/machine.cgi?id=4983",4983,,"Steve Ritchie","Morttis, Arconovum, JPSalas",3.0-3.0,elvis,"FSS, MOD",1JzYfL7f
"Embryon (Bally 1981) UnclePaulie 2.0.2 SSF VR","Embryon (Bally 1981)",Bally,1981,4,SS,,"Fantasy, Science Fiction","http://www.ipdb.org/machine.cgi?id=783",783,,"Claude Fernandez","UnclePaulie",2.0.2,embryond,"Hybrid, VR, FSS, 4k, SSF, nFozzy, Fleep, LUT",pYinRfnhfG
"Embryon (Bally 1981) Greynurse 1.1 MOD","Embryon (Bally 1981)",Bally,1981,4,SS,,"Fantasy, Science Fiction","http://www.ipdb.org/machine.cgi?id=783",783,,"Claude Fernandez","Greynurse, Bigus1, ICPjuggla, Freneticamnesic, Herweh, OldSkoolGamer",1.1,embryond,"MOD",St45uAijKR
"Embryon (Bally 1981) Bigus1 2.0 MOD","Embryon (Bally 1981)",Bally,1981,4,SS,,"Fantasy, Science Fiction","http://www.ipdb.org/machine.cgi?id=783",783,,"Claude Fernandez","Bigus1, ICPjuggla, Freneticamnesic, Herweh, OldSkoolGamer, Scutters",2.0,embryond,"MOD, FlexDMD",BxCQis3d
"Embryon (Bally 1981) ICPjuggla 1.4","Embryon (Bally 1981)",Bally,1981,4,SS,,"Fantasy, Science Fiction","http://www.ipdb.org/machine.cgi?id=783",783,,"Claude Fernandez","ICPjuggla, Freneticamnesic, Herweh, OldSkoolGamer",1.4,embryond,,o1EiUMdi
"Eminem (Original 2019) Dunriwikan45 1.0.0","Eminem (Original 2019)",Original,2019,,EM,,"Music",,,,,"Dunriwikan45",1.0.0,,,hmxbT_En0S
"Eminem (Original 2019) Dunriwikan45 1.0.0","Eminem (Original 2019)",Original,2019,,EM,,"Music",,,,,"Dunriwikan45, John Memeo, ScottyWic, Nailbuster",1.0.0,,,ir-ASQB0
"Endless Summer (Original 2020) Makmak 0.9.7.9","Endless Summer (Original 2020)",Original,2020,4,EM,,"Sports, Surfing",,,,,"Makmak, Thalamus, Tracy, Outhere, Flupper, DJRobX, TerryRed, Franck Hollinger (Mussinger), Toxie, JR, Randr, GTO77, BeachBumTN, Scotty VH, ScottyWic, Fuzzel, Schreibi34, MajorFrenchy, SuperED, Wrd1972, Mfuegemann, GTXJoe, BorgDog, Ninuzzu, 3rdAxis, Arngrim, HauntFreaks, JPSalas, SliderPoint, Bord, Rothbauerw, SLAMT1LT, rom, Nailbuster",0.9.7.9,,"FlexDMD",SjkOK78o
"Looter","Epic Quest (Zen Studios 2013)",Zen Studios,2013,4,,,"Medieval",,,,,"Zen Studios",,,,dUwiyQMX
"Escape From Monkey Island (Original 2021) Remdwaas1986 1.2 MOD VR","Escape From Monkey Island (Original 2021)",Original,2021,,,,"Video Game, Pirates",,,,,"Remdwaas1986, Shoopity",1.2,,"MOD, VR, Hybrid",k3UYkNQLUB
"Escape From Monkey Island (Original 2021) Remdwaas1986 1.1","Escape From Monkey Island (Original 2021)",Original,2021,,,,"Video Game, Pirates",,,,,"Remdwaas1986, Shoopity",1.1,,,wmgWPmI3
"Escape from New York (Original 2020) Shannon 1.1","Escape from New York (Original 2020)",Original,2020,4,SS,,"Science Fiction, Movie","https://www.ipdb.org/machine.cgi?id=-6",-6,,"","Shannon, 32assassin",1.1,,,QLKNk25l
"Escape from the Lost World (Bally 1988) Rajo Joey 1.0.1 MOD VR","Escape from the Lost World (Bally 1988)",Bally,1988,4,SS,,"Fantasy, Dinosaurs","http://www.ipdb.org/machine.cgi?id=789",789,,"Dan Langlois","Rajo Joey, Armyaviation",1.0.1,esclwrld,"VR, MOD, FSS, LUT, Hybrid",TsWeSdGaqX
"Escape from the Lost World (Bally 1988) Armyaviation 1.0.0","Escape from the Lost World (Bally 1988)",Bally,1988,4,SS,,"Fantasy, Dinosaurs","http://www.ipdb.org/machine.cgi?id=789",789,,"Dan Langlois","Armyaviation",1.0.0,esclwrld,,1eBpyWTc
"Estopa (Original 2022) Miguel Roche 1.0.0 MOD","Estopa (Original 2022)",Original,2022,,SS,,"Music",,,,,"Miguel Roche, Fireslayer26, Cyberpez",1.0.0,,"MOD, Music",iNkDEt65
"Evanescence (Original 2021) Phenom 1.0 MOD","Evanescence (Original 2021)",Original,2021,4,SS,,"Music",,,,,"Phenom, Buffalo Pin Bro, Hawkeyez88, Pinball Picasso, Dvs626, JPSalas",1.0,,"MOD",D0Gl4sgY
"Evanescence (Original 2021) Hawkeyez88 1.0 MOD","Evanescence (Original 2021)",Original,2021,4,SS,,"Music",,,,,"Hawkeyez88, Phenom, Buffalo Pin Bro, Pinball Picasso, Dvs626, JPSalas",1.0,,"MOD",yGAqNrSp2m
"Evel Knievel (Bally 1977) HauntFreaks 5.0 SSF MOD VR","Evel Knievel (Bally 1977)",Bally,1977,4,SS,,"Celebrities, Licensed Theme, Stunts","http://www.ipdb.org/machine.cgi?id=4499",4499,,"Gary Gayton","HauntFreaks, 32assassin, TastyWasps, Leojreimroc",5.0,evelknie,"Hybrid, VR, MOD, nFozzy, Fleep, FSS, SSF",nRCFVALA
"Evel Knievel (Bally 1977) Bigus1 2.2 MOD","Evel Knievel (Bally 1977)",Bally,1977,4,SS,,"Celebrities, Licensed Theme, Stunts","http://www.ipdb.org/machine.cgi?id=4499",4499,,"Gary Gayton","Bigus1, HauntFreaks, 32assassin",2.2,evelknie,"MOD",07tt5Pie
"Evel Knievel (Bally 1977) Rockhead 1.0.2 VR","Evel Knievel (Bally 1977)",Bally,1977,4,SS,,"Celebrities, Licensed Theme, Stunts","http://www.ipdb.org/machine.cgi?id=4499",4499,,"Gary Gayton","Rockhead, HauntFreaks, 32assassin",1.0.2,evelknie,"VR",74bDv1DMiD
"Everquest  (Original 2023) Davadruix 1.1 MOD","Everquest  (Original 2023)",Original,2023,,SS,,"Video Game, Fantasy",,,,,"Davadruix, nFozzy, Balutito, Steve Fabok",1.1,spstn_l5,"MOD",S97NXT1x7X
"Evil Dead (Original 2018) HorsePin 1.1","Evil Dead (Original 2018)",Original,2018,,SS,,"Horror, Movie",,,,,"HorsePin",1.1,,"P-ROC",DrEa5ApS9a
"Evil Dead 2 (Original 2019) Bombaj344 1.0.0 MOD","Evil Dead 2 (Original 2019)",Original,2019,4,SS,,"Horror, Movie, Supernatural",,,,,"Bombaj344, Pin666, JPSalas",1.0.0,ironmaid,"Music, LUT, MOD",q5LrrH2I
"Evil Dead 2 (Original 2019) Ivantba 1.0 MOD","Evil Dead 2 (Original 2019)",Original,2019,4,SS,,"Horror, Movie, Supernatural",,,,,"Ivantba, MajorFrenchy, JPSalas",1.0,ironmaid,"MOD, Music",tGWj8-z9
"Evil Dead 3 Army of Darkness (Original 2020) Ivantba 1.0","Evil Dead 3 Army of Darkness (Original 2020)",Original,2020,,SS,,"Horror, Movie",,,,,"Ivantba, Javier, Brendan Bailey (Pinwizkid)",1.0,,,Cul9IFTa
"Excalibur (Gottlieb 1988) Bigus1 2.1 MOD","Excalibur (Gottlieb 1988)",Gottlieb,1988,4,SS,,"Fantasy, Knights, Mythology","http://www.ipdb.org/machine.cgi?id=795",795,,"John Trudeau","Bigus1, Rascal, Francisco666, Scutters, Arngrim",2.1,,"MOD, FlexDMD",Zl7zZs-g
"Excalibur (Gottlieb 1988) Morttis 1.2-2.6 MOD","Excalibur (Gottlieb 1988)",Gottlieb,1988,4,SS,,"Fantasy, Knights, Mythology","http://www.ipdb.org/machine.cgi?id=795",795,,"John Trudeau","Morttis, Arconovum, Rascal, Wildman, Bigus1, Mfuegemann",1.2-2.6,,"FSS, MOD",kxhOliEH
"Excalibur (Gottlieb 1988) Rascal 1.2","Excalibur (Gottlieb 1988)",Gottlieb,1988,4,SS,,"Fantasy, Knights, Mythology","http://www.ipdb.org/machine.cgi?id=795",795,,"John Trudeau","Rascal, Maralb, Whysnow, Gaspu, Prob, Fuzzel, Inkochnito, Akiles50000, Arngrim, JPSalas",1.2,,,p_s1VK4H
"Excalibur","Excalibur (Zen Studios 2013)",Zen Studios,2013,4,,,"Medieval",,,,,"Zen Studios",,,,_cZVfWoF
"Extremoduro Pinball (Original 2021) Defcon Norris 1.03 MOD","Extremoduro Pinball (Original 2021)",Original,2021,,SS,,"Music",,,,,"Defcon Norris, Marty02, Ivantba, Delta23, Cuclis Soriano, Ramone, JPSalas",1.03,,"Music, MOD",652e4XLI
"Eye of the Beholder (Original 2023) Icepinball 1.2.0 MOD","Eye of the Beholder (Original 2023)",Original,2023,,SS,,"Video Game",,,,,"Icepinball, Ivantba, 32assassin, GauGau",1.2.0,,"MOD",87vf86Xz8k
"F-14 Tomcat (Williams 1987) TerryRed 1.7 SSF MOD","F-14 Tomcat (Williams 1987)",Williams,1987,4,SS,,"Adventure, Combat, Aviation","http://www.ipdb.org/machine.cgi?id=804",804,,"Steve Ritchie","TerryRed, Chaos, SLAMT1LT",1.7,f14_l1,"MOD, Fleep, SSF",CyC-yYX28c
"F-14 Tomcat (Williams 1987) Wrd1972 1.0 VR","F-14 Tomcat (Williams 1987)",Williams,1987,4,SS,,"Adventure, Combat, Aviation","http://www.ipdb.org/machine.cgi?id=804",804,,"Steve Ritchie","Wrd1972, Ganjafarmer",1.0,f14_l1,"VR",wBgHhBU6
"F-14 Tomcat (Williams 1987) Arconovum 1.0-2.6 MOD","F-14 Tomcat (Williams 1987)",Williams,1987,4,SS,,"Adventure, Combat, Aviation","http://www.ipdb.org/machine.cgi?id=804",804,,"Steve Ritchie","Arconovum, Ganjafarmer",1.0-2.6,f14_l1,"FSS, MOD",5nqBzx_E
"F-14 Tomcat (Williams 1987) Ganjafarmer 1.0","F-14 Tomcat (Williams 1987)",Williams,1987,4,SS,,"Adventure, Combat, Aviation","http://www.ipdb.org/machine.cgi?id=804",804,,"Steve Ritchie","Ganjafarmer",1.0,f14_l1,,3mc1YJJO
"F-14 Tomcat (Williams 1987) SLAMT1LT 1.01","F-14 Tomcat (Williams 1987)",Williams,1987,4,SS,,"Adventure, Combat, Aviation","http://www.ipdb.org/machine.cgi?id=804",804,,"Steve Ritchie","SLAMT1LT, Chaos",1.01,f14_l1,,VVFlr3Ej5y
"FJ (Hankin 1978) Bigus1 2.0 MOD","FJ (Hankin 1978)",Hankin,1978,4,SS,,"Cars","http://www.ipdb.org/machine.cgi?id=3627",3627,,,"Bigus1, 32assassin",2.0,fjholden,"MOD",6DGydsRnwK
"FJ (Hankin 1978) 32assassin 1.0","FJ (Hankin 1978)",Hankin,1978,4,SS,,"Cars","http://www.ipdb.org/machine.cgi?id=3627",3627,,,"32assassin",1.0,fjholden,,GjzkjINm
"Faces (Sonic 1976) Nestorgian 1.4.5","Faces (Sonic 1976)",Sonic,1976,4,EM,,"Fantasy, Psychedelia","http://www.ipdb.org/machine.cgi?id=806",806,,,"Nestorgian, Arngrim, JPSalas",1.4.5,,,bqlUfNqf
"Faeton (Juegos Populares 1985) JPSalas 4.0","Faeton (Juegos Populares 1985)",Juegos Populares,1985,4,SS,,"Outer Space, Science Fiction, Space Fantasy","http://www.ipdb.org/machine.cgi?id=3087",3087,,,"JPSalas, Lighthouse, Arngrim",4.0,faeton,,5KweDoFN
"Faeton (Juegos Populares 1985) Arconovum 1.0.1-2.6 MOD","Faeton (Juegos Populares 1985)",Juegos Populares,1985,4,SS,,"Outer Space, Science Fiction, Space Fantasy","http://www.ipdb.org/machine.cgi?id=3087",3087,,,"Arconovum, JPSalas",1.0.1-2.6,faeton,"FSS, MOD",oJw1kilZ
"Fair Fight (Recel 1978) JPSalas 4.3.0","Fair Fight (Recel 1978)",Recel,1978,,SS,,"Medieval, Combat","https://www.ipdb.org/machine.cgi?id=808",808,,,"JPSalas, Editoy, Halen",4.3.0,,,9k38chYycL
"Faith - George Michael (Original 2023) VLive 1.02 MOD","Faith - George Michael (Original 2023)",Original,2023,,SS,,"Music",,,,,"VLive",1.02,,"Music, MOD",sSobZIMQ6W
"BETHESDA_Fallout","Fallout Pinball (Zen Studios 2016)",Zen Studios,2016,4,,,"Licensed Theme, Video Game",,,,,"Zen Studios",,,,UFFpuobs
"Family Guy (Stern 2007) Michel757 1.0 MOD VR","Family Guy (Stern 2007)",Stern,2007,4,SS,,"Licensed Theme, Animation, TV Show","http://www.ipdb.org/machine.cgi?id=5219",5219,,"Pat Lawlor","Michel757, Bigus1, Ninuzzu, Vbobrusev",1.0,fg_1200af,"VR, MOD",YCZLhh47X9
"Family Guy (Stern 2007) Bigus1 2.0 MOD","Family Guy (Stern 2007)",Stern,2007,4,SS,,"Licensed Theme, Animation, TV Show","http://www.ipdb.org/machine.cgi?id=5219",5219,,"Pat Lawlor","Bigus1, Ninuzzu",2.0,fg_1200af,"MOD",ktQX8dd3
"Family Guy (Stern 2007) Gedankekojote97 1.0 SSF MOD VR","Family Guy (Stern 2007)",Stern,2007,4,SS,,"Licensed Theme, Animation, TV Show","http://www.ipdb.org/machine.cgi?id=5219",5219,,"Pat Lawlor","Gedankekojote97, Tomate, Wylte, JasonDH, PinstratsDan, Smaugdragon, Diemonik, Iaakki, Apophis, HauntFreaks, SliderPoint, UnclePaulie",1.0,fg_1200af,"VR, SSF, MOD, FSS, Hybrid, nFozzy, Fleep, LUT",MQAmcxc9Ru
"Family Guy (Stern 2007) Gedankekojote97 1.2 MOD","Family Guy (Stern 2007)",Stern,2007,4,SS,,"Licensed Theme, Animation, TV Show","http://www.ipdb.org/machine.cgi?id=5219",5219,,"Pat Lawlor","Gedankekojote97, VPW Team, Ninuzzu, Bigus1",1.2,fg_1200af,"MOD, nFozzy, Fleep, LUT",k2OjXePnxC
"Family Guy (Stern 2007) Ninuzzu 1.1.1","Family Guy (Stern 2007)",Stern,2007,4,SS,,"Licensed Theme, Animation, TV Show","http://www.ipdb.org/machine.cgi?id=5219",5219,,"Pat Lawlor","Ninuzzu, Diemonik, HauntFreaks, SliderPoint",1.1.1,fg_1200af,"FastFlips",2XNBa0XX
"FamilyGuy","Family Guy Pinball (Zen Studios 2015)",Zen Studios,2015,4,,,"Licensed Theme, TV Show",,,,,"Zen Studios",,,,lTHBYMUW
"Family Guy Xmas Pinball (Original 2020) Stevegooner1234 1.0 MOD","Family Guy Xmas Pinball (Original 2020)",Original,2020,,,,"TV Show, Christmas",,,,,"Stevegooner1234, Xenonph, Wildman, Lizard, JPSalas",1.0,,"MOD, Music",tYbnqYK_OZ
"Table 38","Fantastic Four (Zen Studios 2011)",Zen Studios,2011,4,,,"Licensed Theme, Comics, Superheroes",,,,"Peter Grafl","Zen Studios, Peter Grafl",,,,P_3CEOQrdA
"MARVEL_FantasticFour","Fantastic Four (Zen Studios 2011)",Zen Studios,2011,4,,,"Licensed Theme, Comics, Superheroes",,,,"Peter Grafl","Zen Studios",,,,WYLSAx-T
"Far Cry 3 Blood Dragon (Original 2018) Ivantba 1.3 MOD","Far Cry 3 Blood Dragon (Original 2018)",Original,2018,,SS,,"Video Game",,,,,"Ivantba, HiRez00, Xenonph, HauntFreaks, JPSalas",1.3,,"MOD",8ZKqX3eD
"Far Out (Gottlieb 1974) Teisen 1.0.0 MOD","Far Out (Gottlieb 1974)",Gottlieb,1974,4,EM,,"Psychedelic","http://www.ipdb.org/machine.cgi?id=823",823,,"Ed Krynski","Teisen, Loserman76, GNance, Popotte, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim",1.0.0,,"MOD",9DZ2oKMiH1
"Far Out (Gottlieb 1974) Rajo Joey 1.0.0 MOD VR","Far Out (Gottlieb 1974)",Gottlieb,1974,4,EM,,"Psychedelic","http://www.ipdb.org/machine.cgi?id=823",823,,"Ed Krynski","Rajo Joey, Mustang1961, Loserman76",1.0.0,,"VR, Hybrid, FSS, LUT, MOD",sYFvngZVko
"Far Out (Gottlieb 1974) Mustang1961 1.0a","Far Out (Gottlieb 1974)",Gottlieb,1974,4,EM,,"Psychedelic","http://www.ipdb.org/machine.cgi?id=823",823,,"Ed Krynski","Mustang1961, Loserman76",1.0a,,,vnA23Azia4
"Far Out (Gottlieb 1974) Loserman76 1.0.0f","Far Out (Gottlieb 1974)",Gottlieb,1974,4,EM,,"Psychedelic","http://www.ipdb.org/machine.cgi?id=823",823,,"Ed Krynski","Loserman76",1.0.0f,,,LL-PlTwB
